user_utterance,therapist_utterance,label
"다른 사람들이 열정적으로 살아가는 것을 보며 저도 저렇게 해야 한다고 생각하지만, 의욕이 들지 않아요.",타인의 열정적인 모습을 보며 무엇을 해야 할지 고민하셨군요.,General
"네, 그래서 항상 제 자신을 탓하게 되고, 저도 모르게 자책감에 빠지곤 해요.",자신을 탓하며 자책감에 사로잡혀 계시는군요.,Complex Reflection
맞아요. 그런 감정들이 저를 더욱 무기력하게 만들어요.,감정의 악순환에 빠지셔서 힘들어하고 계시는군요.,Complex Reflection
"네, 그 감정들 때문에 제가 본래 가지고 있던 열정도 잃어버린 것 같아요.",원래 가지고 계셨던 열정을 잃어버렸다고 느끼시는군요.,Simple Reflection
"네, 그리고 저 열정을 되찾고 싶어요.",열정을 되찾고 싶어하는 마음이 드러나고 있군요.,Complex Reflection
제가 다시 그 열정을 가질 수 있을 것 같아요.,역경에 맞서 다시 열정을 찾겠다는 의지가 인상적이네요.,Affirm
"네, 그 의지를 가지고 더 좋은 방향으로 나아가고 싶어요.",더 좋은 방향으로 나아가고자 하는 의지가 강해 보이네요.,Affirm
"안녕하세요. 제가 너무 많은 일들을 겪었던 탓에, 어느새 자신감이 많이 떨어져 버렸습니다.",그런 경험들이 자신에 대한 믿음을 잃게 만들었군요.,Complex Reflection
"네, 그렇습니다. 어느 순간부터 자신이 하찮게 느껴지기 시작했습니다.",내담자님은 지금까지 겪었던 일들로 인해 스스로를 소중하게 여기지 않게 되셨군요.,Complex Reflection
정확히 말씀하셨어요. 저는 절 가치 있게 생각하기가 어려워지고 있습니다.,내담자님께서는 스스로의 가치를 인식하는 데 어려움을 겪고 계시네요.,Complex Reflection
"네, 정말 그렇게 느껴지네요.",이러한 어려움을 극복하기 위해 시도해보고 싶은 방법이 있으신가요?,Open Question
"우선, 제 생각을 긍정적으로 바꾸려고 노력하고 싶습니다.",생각을 바꾸려는 노력이 인상적입니다.,Affirm
제 마음을 조금씩 열고 다른 사람들과의 소통을 늘리고 싶습니다.,소통을 통해 마음을 열고자 하는 의지가 이 어려움을 극복하는 데 큰 역할을 할 것입니다.,Complex Reflection
이제부터라도 자신에 대해 조금씩 긍정적으로 생각하며 이전의 저를 되찾고 싶습니다.,변화를 향한 내담자님의 의지가 새로운 길을 열어갈 것입니다.,Complex Reflection
매일 아침 일어나서 새로운 하루를 시작해야 한다는 걸 생각하면 숨이 막혀요.,그러신가요. 하루의 시작이 무겁게 느껴지시는군요.,Simple Reflection
"네, 무엇을 해야 할지 알 수 없어서 더 힘든 것 같아요.",매일 아침마다 방향을 잃은 느낌이 드시는군요.,Complex Reflection
"정확히 그렇습니다. 무엇을 해야 할지, 어떻게 해야 할지 전혀 모르겠어요.",정말로 앞으로 나아가는 방법을 찾기가 어렵게 느끼시는군요.,Complex Reflection
그렇습니다. 제 상황에 대해 앞으로 어떻게 나아가야 할지 조금이라도 가이드를 얻고 싶어요.,내담자님의 현재 상황에서 나아가기 위한 방향을 찾고 싶으시군요.,Simple Reflection
"예, 제 삶에 조금이라도 긍정적인 변화를 주고 싶습니다.",현재 상황에서 긍정적인 변화를 추구하시는 마음이 강하시군요.,Complex Reflection
그렇습니다. 자신감을 되찾고 싶어요.,자신감을 되찾고자 하시는군요.,Simple Reflection
"네, 저는 제 자신을 믿고 싶어요.",자신을 믿고 싶어하시는 마음이 느껴집니다.,Simple Reflection
한국에서의 휴가 후로 훨씬 더 무기력해졌어요.,휴가에서 돌아오는 것이 때로는 예상했던 일상으로의 복귀보다 힘들 수 있군요.,Complex Reflection
"네, 정말 그렇습니다. 특히나 친언니와 보낸 시간이 너무 행복했어서 돌아와서 더 외롭게 느껴져요.",언니와 보내는 시간이 내담자님에게 어떤 의미였나요?,Open Question
"언니와 함께 있을 때는 모든 것이 너무 잘 풀리는 것 같고, 마음이 편안했습니다.",그 마음의 편안함을 다시 찾기 위해 무엇을 시도해보고 싶으신가요?,Open Question
"음, 저는 다시 그 편안함을 느끼기 위해 친언니와 자주 소통하려고 해요.",언니와의 관계를 유지하고자 하는 당신의 노력이 정말 인상 깊습니다.,Affirm
감사합니다. 언니와 이야기하면서 조금이나마 그 편안함을 다시 느낄 수 있기를 희망해요.,"언니와 소통하는 것 이외에도, 그 편안함을 되찾기 위해 생각하고 있는 다른 방법이 있으실까요?",Open Question
사실 저는 일상에서 할 수 있는 작은 활동들을 찾아보고 싶어요.,일상에서 가능한 작은 활동들을 찾으려고 하시는군요.,Simple Reflection
"네, 예를 들면 저녁에 짧은 산책을 하거나 좋아하는 음악을 듣는 것처럼요.",저녁에 짧은 산책을 하거나 좋아하는 음악을 듣는 것을 고려하고 계시군요.,Simple Reflection
"네, 이런 작은 활동들이 저를 조금이나마 기분 전환시켜줄 수 있을 것 같아서요.",이런 활동들을 통해 어떤 느낌을 가장 크게 기대하시나요?,Open Question
저는 이 활동들로 인해 조금이라도 마음의 안정을 찾고 싶어요.,마음의 안정을 찾고 싶으시군요.,Simple Reflection
"네, 그렇습니다. 조금씩이라도 마음이 편안해지길 바래요.",조금씩 마음이 편안해지기를 바라신다는 말씀이시군요.,Simple Reflection
저는 최근에 제 감정을 조절하는 것에 큰 어려움을 겪고 있어요.,감정을 조절하는 것은 복잡한 과정이죠.,General
"네, 그리고 사실 예전에는 이 정도로 예민하거나 감정 기복이 심하지 않았어요.",감정 기복이 예전과 비교해 확연히 느껴지는 변화가 있으신 것 같군요.,Complex Reflection
"네, 맞아요. 정말 사소한 일에도 너무 예민하게 반응하고, 많이 울어요.",사소한 일에 대한 예민한 반응과 울음이 본인 스스로도 부담이 되고 계시는군요.,Complex Reflection
"네, 정말 그렇습니다. 이런 저 자신이 싫어요.",이런 자신에 대해 만족하지 못하고 계시군요.,Simple Reflection
많이 힘들어서 변화를 모색하고 싶습니다.,"변화를 모색하고 싶다고 하셨는데, 구체적으로 어떤 방향으로 나아가고 싶으신가요?",Open Question
저 자신을 좀 더 잘 이해하기 위해 내 감정을 분석하고 파악하는 방법을 배우고 싶습니다.,감정을 분석하고 파악하는 방법을 배우고 싶다는 생각이 지금의 어려움을 해결하는 데 도움이 될 수 있겠네요.,Complex Reflection
그 방법을 통해 제가 왜 이런 반응을 보이는지 이해할 수 있을 것 같아요.,내담자님의 반응을 이해하는 과정이 본인을 더 잘 아는 데 기여하게 될 것입니다.,Complex Reflection
"네, 사실 요즘 마음이 많이 무겁고 생각이 많아졌어요.",그런 감정들을 겪으면서 스스로를 많이 돌아보게 되셨군요.,Complex Reflection
"네, 그렇게 됐어요.",그 감정들이 특정 사건 때문에 시작된 건가요?,Closed Question
"네, 어렸을 때부터 가정환경이 복잡했고, 학교 생활도 좋지 않았어요.",어려웠던 과거 경험이 지금의 감정에도 큰 영향을 미치고 있군요.,Complex Reflection
"네, 과거의 상황들이 베이스가 되어 지금의 저를 만든 것 같아요.",내담자님의 현재 심정이 과거 경험들로 형성된 내면의 복잡성에서 오는 것이라 생각하시는군요.,Complex Reflection
"네, 그렇게 생각해요.",과거의 다양한 경험이 지금 내담자님을 깊이 이해하는 데 중요한 역할을 하고 있네요.,Complex Reflection
"맞아요, 그 경험들 때문에 저 자신에 대해 더 깊이 생각하게 된 거 같아요.",경험을 통해 자기 이해의 깊이를 더하는 과정에서 중요한 인사이트를 얻고 계시네요.,General
"네, 하지만 그 과정이 제게 큰 부담으로 다가오기도 해요.",경험에서 오는 부담이 무거움으로 느껴지는 것이 이해됩니다.,Affirm
